field,total_extracted,unique_values,average_length,most_common_values
producer,42,37,18.952380952380953,Etienne Sauzet:2; Domaine Ballot-Millot:2; Domaine Hubert Lamy:2; Domaine François Raveneau:2; Pierre-Yves Colin-Morey:2
cuvee,25,25,13.8,Les Longeroies:1; Les Sardines:1; Galatee:1; Vieilles Vignes Pargues:1; La Fussiere:1
type,0,0,0.0,
vintage,43,9,4.0,2022:17; 2021:11; 2020:5; 2019:2; 2018:2
price,43,35,2.2325581395348837,55:5; 61:2; 73:2; 78:2; 165:2
bottle_size,0,0,0.0,
grape_variety,43,9,10.348837209302326,Chardonnay:28; Aligoté:6; Pinot Noir:3; Grolleau:1; Gamay/Grolleau/Pineau d'Aunis:1
country,102,10,7.754901960784314,France:51; Switzerland:20; Australia:18; New Zealand:4; Germany:3
region,106,32,7.679245283018868,Bern:20; Burgundy:15; Bourgogne:9; Victoria:9; Bordeaux:8
subregion,19,13,14.421052631578947,Chassagne-Montrachet:4; Hautes Côtes de Beaune:2; Meursault:2; Saint-Aubin:2; Marsannay:1
designation,9,3,7.666666666666667,1er Cru:7; Premier Cru:1; Grand Cru:1
classification,0,0,0.0,
sub_type,0,0,0.0,
